 :<PROG=1 SEG=M  TRM=9999 SYS=+20 PRB1=+24 PRB2=+23 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=  10 SYS=+20 PRB1=+24 PRB2=+23 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=  10 SYS=+20 PRB1=+24 PRB2=+23 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=  10 SYS=+20 PRB1=+24 PRB2=+23 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=  10 SYS=+19 PRB1=+23 PRB2=+23 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   9 SYS=+19 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   9 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   9 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   9 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   8 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   8 SYS=+19 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   8 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   7 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   7 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   7 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   7 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   6 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   6 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   6 SYS=+20 PRB1=+23 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   5 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   5 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   5 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   5 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   4 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   4 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   4 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   4 SYS=+20 PRB1=+22 PRB2=+22 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   3 SYS=+19 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   3 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   3 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   2 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   2 SYS=+19 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   2 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   2 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   1 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   1 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=1H TRM=   1 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :#V :<PROG=1 SEG=2R TRM= 500 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+20 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+22 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+19 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+21 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+21 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+18 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
 :<PROG=1 SEG=2R TRM= 500 SYS=+17 PRB1=+20 PRB2=+20 PRB3=- 7 VAC=9999>
